Type,functional_class,Abbr.,Generic Name,Alias,Brand Name,Class,2nd Mechanism of Action,Mechanism Details,Drug Company Description,,Source
Medication,Sodium Channel Blockers,CBZ,Carbamazepine,,"Tegretol, Carbatrol",AED/Carboxamide,-,Use- and voltage-dependent blockade of neuronal volatage-gated sodium channels.,Effective for focal seizures and primary tonic clonic and secondarily generalized tonic clonic seizures. May worsen absence and myoclonic seizures.,,https://scn8a.net/medication-guide/
Medication,Sodium Channel Blockers,LAC,Lacosamide,,Vimpat,AED,-,Blocks voltage-gated sodium channels via a selective effect on slow inactivation of channels; may also relate to interaction with collapsing-response mediator protein-2.,Add-on therapy for focal seizures with or without secondary generalization. Monotherapy in children 17 years older.8,,https://scn8a.net/medication-guide/
Medication,Sodium Channel Blockers,LTG,Lamotrigine,,Lamictal,AED,-,Use- and voltage-dependent blockade of neuronal voltage-gated sodium channels,Monotherapy and add-on therapy for focal and generalized seizures. Also used for seizures associated with Lennox-Gastaut syndrome. Valproate adjunct for children 2-12 years of age.,,https://scn8a.net/medication-guide/
Medication,Sodium Channel Blockers,OXC,Oxcarbazepine,,Trileptal,AED/Carboxamide,-,"Use- and voltage-dependent blockade of voltage-gated sodium channels, may increase potassium conductance, reduces presynaptic glutamate release, possibly by blocking high threshold calcium channels.",Add-on therapy for Lennox-Gastaut syndrome.,,https://scn8a.net/medication-guide/
Medication,Sodium Channel Blockers,PHT,Phenytoin,,Dilantin,AED,-,Use- and voltage-dependent blockade of neuronal voltage-gated sodium channels.,Effective for focal and tonic clonic seizures. Ineffective against absences. Blood testing is essential to guide the doses.,,https://scn8a.net/medication-guide/
Medication,Sodium Channel Blockers,RFM,Rufinamide,,"Inovelon, Banzel",Carboxamide,-,Blockage of neuronal sodium channel.,Add-on therapy for Lennox-Gastaut syndrome.,,https://scn8a.net/medication-guide/
Medication,Sodium Channel Blockers,VPA,Valproate,,"Depakote, Epilim",AED,-,Use- and voltage-dependent blockage of neuronal voltage-gated sodium channels; possible blockage of T-type calcium channels; increases synthesis and release of GABA.,Effective for all types of seizures.,,https://scn8a.net/medication-guide/
Medication,GABAergic,CLB,Clobazam,,"Frisium, ONFI",BZD,-,"Enhanced GABAergic neurotransmission, binds at benzodiazepine site",Add-on therapy.,,https://scn8a.net/medication-guide/
Medication,GABAergic,CLZ,Clonazepam,,-,BZD,-,"Binds to benzodiazepine receptor, enhances GABA effects","Effective for focal, tonic clonic, myoclonic and absence seizures.",,https://scn8a.net/medication-guide/
Medication,GABAergic,FBM,Felbamate,,Feltabol,AED,-,Inhibits NMDA glutamate receptor mediated activity by modulating glycine binding sites on the receptor; blocks voltage activated sodium channels; possibly increases GABAA receptor activity.,Mono- or add-on theraphy for Lennox-Gastaut syndrome.,,https://scn8a.net/medication-guide/
Medication,GABAergic,NTZ,Nitrazepam,,-,BZD,-,"Binds to benzodiazepine receptor, enhances GABA effects.",Effective for infantile spasms only.,,https://scn8a.net/medication-guide/
Medication,GABAergic,PBT,Phenobarbital,,-,BARB/AED,-,Increases the duration of opening of GABA mediated chloride channels by binding to an allosteric site for GABA receptor.,Effective for focal and tonic clonic seizures.,,https://scn8a.net/medication-guide/
Medication,GABAergic,PRM,Primidone,,Mysoline,AED,-,"Metabolized to phenobarbitol, acts on GABA receptors.",Primidone is not often used in children. Effective for all seizure types except typical absences,,https://scn8a.net/medication-guide/
